NAME	GENE	SCORE	X	Y	ATAN2	cluster
YHR126C	YHR126C	2.224	0.85	0.526	0.554145474	M/G1
YOR066W	YOR066W	6.828	0.854	0.519	0.546082731	M/G1
YHR092C	HXT4	1.431	0.86	0.508	0.533551476	M/G1
YDL179W	PCL9	3.296	0.864	0.502	0.526345593	M/G1
YEL032W	MCM3	5.661	0.867	0.498	0.521379084	M/G1
YNL160W	YGP1	9.334	0.879	0.476	0.496312799	M/G1
YJL044C	GYP6	2.523	0.908	0.418	0.431429576	M/G1
YKR103W	YKR103W	1.582	0.911	0.411	0.423811999	M/G1
YJL194W	CDC6	4.13	0.915	0.403	0.414873068	M/G1
YHR005C	GPA1	6.566	0.926	0.376	0.385708857	M/G1
YLR274W	CDC46	6.751	0.926	0.375	0.384781444	M/G1
YJL195C	YJL195C	3.298	0.935	0.353	0.360995752	M/G1
YHR022C	YHR022C	1.321	0.936	0.352	0.359707	M/G1
YMR246W	FAA4	1.561	0.942	0.335	0.341678318	M/G1
YFL044C	YFL044C	1.419	0.942	0.334	0.340735615	M/G1
YNL192W	CHS1	2.748	0.946	0.323	0.329026604	M/G1
YJL067W	YJL067W	1.745	0.946	0.323	0.329026604	M/G1
YBR157C	YBR157C	5.145	0.95	0.311	0.316372561	M/G1
YNL134C	YNL134C	2.14	0.951	0.309	0.314160567	M/G1
YDR157W	YDR157W	1.316	0.952	0.303	0.308139492	M/G1
YOL101C	YOL101C	1.937	0.953	0.302	0.306882938	M/G1
YDR493W	YDR493W	1.764	0.955	0.297	0.301512963	M/G1
YDR342C	HXT7	1.465	0.955	0.296	0.300557904	M/G1
YDR191W	HST4	5.955	0.957	0.289	0.293277239	M/G1
YOR264W	YOR264W	3.269	0.957	0.288	0.292319359	M/G1
YDL117W	YDL117W	5.967	0.959	0.282	0.285994986	M/G1
YKL151C	YKL151C	1.506	0.968	0.249	0.251773026	M/G1
YOR127W	RGA1	1.481	0.968	0.247	0.249834172	M/G1
YBR296C	YBR296C	1.8	0.973	0.229	0.231147951	M/G1
YLR041W	YLR041W	2.543	0.979	0.2	0.201517224	M/G1
YLR040C	YLR040C	1.847	0.983	0.185	0.186023501	M/G1
YDR055W	YDR055W	7.266	0.984	0.175	0.1760053	M/G1
YPL187W	MF(ALPHA)1	2.416	0.985	0.173	0.173861263	M/G1
YLR013W	YLR013W	1.43	0.987	0.158	0.158734292	M/G1
YKL185W	ASH1	11.8	0.988	0.158	0.158576311	M/G1
YPL158C	YPL158C	7.995	0.987	0.157	0.157746279	M/G1
YOR263C	YOR263C	3.69	0.99	0.138	0.138501482	M/G1
YNL078W	YNL078W	7.368	0.99	0.137	0.137510497	M/G1
YNL046W	YNL046W	2.171	0.994	0.11	0.110215525	M/G1
YOR052C	YOR052C	1.711	0.994	0.103	0.103253223	M/G1
YBR053C	YBR053C	1.362	0.995	0.099	0.099171091	M/G1
YDL089W	YDL089W	1.66	0.995	0.099	0.099171091	M/G1
YEL040W	UTR2	2.073	0.995	0.096	0.096184693	M/G1
YJL159W	YJL159W	10.86	0.999	0.05	0.050008321	M/G1
YFL011W	HXT10	1.925	0.999	0.041	0.041018022	M/G1
YOR342C	YOR342C	1.503	0.999	0.041	0.041018022	M/G1
YDR545W	YDR545W	1.567	0.999	0.038	0.038019708	M/G1
YIL009W	FAA3	6.035	0.999	0.037	0.037020116	M/G1
YKL163W	PIR3	12.51	1	0.028	0.027992686	M/G1
YKL104C	GFA1	1.617	1	0.014	0.013999085	M/G1
YOR242C	YOR242C	6.81	1	0.004	0.003999979	M/G1
YGL032C	AGA2	1.427	1	0	0	M/G1
YBR083W	TEC1	4.634	1	-0.01	-0.009999667	M/G1
YFL065C	YFL065C	1.715	1	-0.01	-0.009999667	M/G1
YGL055W	OLE1	7.478	0.999	-0.03	-0.030021008	M/G1
YLR452C	SST2	2.406	0.999	-0.03	-0.030021008	M/G1
YMR011W	HXT2	4.637	0.998	-0.06	-0.060047963	M/G1
YML110C	DBI56	1.671	0.997	-0.07	-0.070095603	M/G1
YKL164C	PIR1	15.99	0.996	-0.08	-0.08014922	M/G1
